SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes
SKU0015,Fresh Product 476,Fresh Produce,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH4946,2025-07-10,2025-05-15,2025-07-13,61,231,81,42,0,0,29.5,850000,7.83,314.0,107,7,1.48,1.49,342.25,3.83,8.0,0.7706999999999999,FIFO,Low Stock,1,2025-08-30,0.039900000000000005,0.8826999999999999,
SKU0016,Household Product 390,Household,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH8787,2025-08-08,2025-06-09,2030-04-20,32,47,11,16,0,0,4.47,101000,10.51,27.0,14,3,2.33,2.13,109.53,2.85,2.0,0.7051000000000001,FIFO,In Stock,0,2025-08-07,0.0132,0.7182999999999999,
SKU0017,Pantry Product 494,Pantry,A,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH6107,2025-03-17,2025-02-20,2027-05-02,176,197,2,26,0,4,24.4,889000,8.07,370.0,126,10,11.52,10.5,2269.74,3.72,4.0,0.8728,FEFO,Low Stock,0,2025-07-15,-0.025099999999999997,0.8503000000000001,
SKU0018,Frozen Product 127,Frozen,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH4770,2025-06-15,2025-05-09,2025-12-17,86,484,22,107,0,0,29.62,736000,16.34,447.0,151,10,7.58,8.38,3669.49,1.84,10.0,0.8028,FIFO,In Stock,-5,2025-09-09,0.030299999999999997,0.7434000000000001,Seasonal SKU
SKU0019,Meat Product 464,Meat,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH4899,2025-08-22,2025-08-05,2025-09-12,18,41,6,2,3,0,3.49,95000,11.75,24.0,10,4,11.33,13.01,464.73,2.55,3.0,0.9226000000000001,FEFO,Expiring Soon,4,2025-08-13,-0.0175,0.9537,
SKU0020,Beverages Product 452,Beverages,B,S010,PT DailyDairy,WHDPS,Denpasar - Tabanan,BATCH8749,2025-05-11,2025-03-21,2027-09-20,121,1,182,197,0,0,90.45,2685,15.21,416.0,145,3,1.0,1.12,1382.05,1.97,22.0,0.8776999999999999,FEFO,In Stock,0,2025-08-16,-0.028999999999999998,0.7873,Fragile
SKU0021,Seafood Product 211,Seafood,B,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH1993,2025-03-21,2025-02-24,2025-03-25,172,123,17,11,0,0,7.17,162000,17.15,83.0,33,7,9.2,8.45,1131.37,1.75,6.0,0.8109999999999999,FEFO,Expiring Soon,0,2025-08-27,0.0644,0.9749,
SKU0022,Dairy Product 230,Dairy,C,S003,PT Prima Distribusi,WHMDN,Medan - Deli Serdang,BATCH8579,2025-07-25,2025-07-10,2025-08-09,46,87,87,0,3,1,47.3,1490,1.84,217.0,75,3,1.07,0.99,92.85,16.31,15.0,0.9562,FIFO,Low Stock,0,2025-07-15,-0.0765,0.9656,
SKU0023,Household Product 51,Household,B,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH4872,2025-09-06,2025-08-27,2027-03-16,3,210,38,30,1,2,19.3,661000,10.88,407.0,137,14,4.86,4.58,1020.62,2.76,5.0,0.7501000000000001,FEFO,Low Stock,-2,2025-07-09,-0.056600000000000004,0.9478,
SKU0024,Household Product 463,Household,C,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH7396,2025-06-04,2025-05-19,2026-06-08,97,58,9,1,2,1,8.38,196000,6.92,39.0,14,3,13.11,12.72,760.58,4.33,5.0,0.9586,FEFO,In Stock,-2,2025-08-04,-0.0178,0.629,
SKU0025,Personal Product 402,Personal Care,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5861,2025-08-01,2025-07-19,2027-08-24,39,77,7,9,0,2,4.96,141000,15.52,31.0,16,3,13.92,15.91,1072.16,1.93,1.0,0.9551000000000001,FIFO,In Stock,0,2025-06-27,0.0684,0.7039,
SKU0026,Fresh Product 161,Fresh Produce,B,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH9238,2025-04-13,2025-02-14,2025-04-23,149,801,163,83,1,1,79.98,2569,10.01,361.0,121,3,2.09,2.38,1672.81,3.0,20.0,0.8534999999999999,FIFO,Expiring Soon,1,2025-09-02,0.0212,0.7361,
SKU0027,Fresh Product 96,Fresh Produce,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH4853,2025-08-23,2025-07-29,2025-09-05,17,470,138,111,1,1,44.01,1032,10.68,205.0,73,3,2.0,2.18,939.58,2.81,14.0,0.8157,FIFO,Expiring Soon,0,2025-06-29,0.0241,0.6054999999999999,
SKU0028,Pantry Product 318,Pantry,B,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH9565,2025-03-25,2025-03-05,2029-07-02,168,293,4,27,2,0,27.22,948000,10.76,166.0,57,4,6.73,7.23,1972.15,2.79,8.0,0.8725,FEFO,In Stock,4,2025-08-14,0.0593,0.6252,
SKU0029,Seafood Product 136,Seafood,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH8491,2025-03-22,2025-03-02,2025-03-29,171,259,23,53,0,2,21.23,579000,12.2,98.0,34,3,7.2,7.57,1865.81,2.46,8.0,0.8419,FIFO,Expiring Soon,0,2025-09-08,-0.0552,0.6121,
SKU0030,Personal Product 52,Personal Care,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5345,2025-07-17,2025-07-09,2029-05-18,54,112,12,22,0,2,13.28,458000,8.43,287.0,101,14,17.29,17.65,1936.29,3.56,6.0,0.8320000000000001,FEFO,Low Stock,-2,2025-09-01,0.023700000000000002,0.6139,
SKU0031,Bakery Product 81,Bakery,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH9666,2025-03-13,2025-03-13,2025-03-17,180,134,11,16,3,1,19.25,570000,6.96,30.0,11,1,2.36,2.33,316.8,4.31,10.0,0.7975,FEFO,Expiring Soon,-3,2025-06-17,-0.0052,0.8220000000000001,High return rate
SKU0032,Meat Product 456,Meat,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5616,2025-08-01,2025-06-24,2025-08-14,39,17,1,6,4,1,2.29,89000,7.42,11.0,9,1,11.3,12.71,192.16,4.04,3.0,0.941,FIFO,Expiring Soon,0,2025-07-28,-0.084,0.6426000000000001,
SKU0033,Pantry Product 136,Pantry,C,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH2512,2025-07-07,2025-05-28,2026-10-19,64,72,13,21,1,3,5.96,151000,12.08,23.0,11,2,4.09,3.87,294.57,2.48,3.0,0.7454999999999999,FEFO,In Stock,4,2025-08-05,-0.0353,0.6436,Promotional item
SKU0034,Beverages Product 327,Beverages,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH8007,2025-05-19,2025-04-14,2029-06-21,113,509,86,48,3,1,54.19,1242,9.39,407.0,136,5,3.95,3.67,2012.03,3.19,22.0,0.9752,FIFO,In Stock,2,2025-08-26,-0.0054,0.9233,High return rate
SKU0035,Pantry Product 428,Pantry,B,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH8041,2025-04-21,2025-04-13,2027-02-18,141,88,12,14,1,3,6.95,191000,12.66,76.0,27,7,14.87,13.99,1308.27,2.37,4.0,0.8365,FIFO,In Stock,1,2025-08-01,0.0629,0.9333,
SKU0036,Personal Product 498,Personal Care,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH5088,2025-07-18,2025-06-06,2030-05-14,53,69,38,23,3,0,18.94,647000,3.64,122.0,46,4,7.74,7.41,534.34,8.23,11.0,0.9106000000000001,FIFO,Low Stock,2,2025-07-26,0.0086,0.8636,
SKU0037,Personal Product 209,Personal Care,A,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH3900,2025-07-11,2025-05-16,2027-06-08,60,197,20,13,2,1,19.11,622000,10.31,122.0,46,4,12.5,11.72,2462.76,2.91,8.0,0.9793999999999999,FEFO,In Stock,-6,2025-09-06,-0.0541,0.8637,
SKU0038,Personal Product 401,Personal Care,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH2771,2025-07-03,2025-06-09,2027-05-25,68,298,32,24,0,2,15.07,335000,19.77,121.0,46,5,4.09,3.7,1218.16,1.52,5.0,0.7487999999999999,FIFO,In Stock,2,2025-07-11,0.030299999999999997,0.6294,
SKU0039,Household Product 236,Household,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH1387,2025-07-13,2025-06-01,2027-10-12,58,85,15,34,2,2,16.91,635000,5.03,81.0,30,3,4.13,4.07,351.33,5.97,6.0,0.752,FIFO,In Stock,-4,2025-07-20,0.060599999999999994,0.7315999999999999,
SKU0040,Household Product 496,Household,B,S005,PT Agro Raya,WHSBY,Surabaya - Sidoarjo,BATCH7548,2025-03-29,2025-02-14,2029-02-04,164,81,24,30,5,1,8.96,327000,9.04,18.0,9,1,10.22,10.51,827.67,3.32,3.0,0.8172,FEFO,In Stock,3,2025-09-06,0.0951,0.8033,Promotional item
SKU0041,Dairy Product 493,Dairy,B,S005,PT Agro Raya,WHJKT,Jakarta - Cengkareng,BATCH8119,2025-08-13,2025-07-22,2025-09-08,27,398,6,3,3,3,48.59,1406,8.19,513.0,173,7,2.17,1.98,861.95,3.66,18.0,0.7537,FEFO,Low Stock,4,2025-07-16,0.055099999999999996,0.7523000000000001,
SKU0042,Frozen Product 198,Frozen,B,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH8144,2025-07-06,2025-07-06,2026-01-13,65,207,57,18,2,1,47.41,1163,4.37,73.0,26,1,7.03,7.85,1455.73,6.87,18.0,0.868,FIFO,In Stock,5,2025-07-25,-0.0184,0.7920999999999999,
SKU0043,Personal Product 472,Personal Care,A,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH3041,2025-06-21,2025-05-06,2030-03-10,80,193,37,21,2,0,14.36,324000,13.44,155.0,54,7,22.22,25.24,4288.52,2.23,9.0,0.9434,FEFO,In Stock,0,2025-07-07,-0.0718,0.8406,
SKU0044,Bakery Product 207,Bakery,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH7888,2025-08-08,2025-06-27,2025-08-11,32,42,15,4,2,0,5.29,187000,7.94,59.0,22,7,1.77,2.01,74.37,3.78,1.0,0.7793000000000001,FEFO,Low Stock,3,2025-06-15,0.0527,0.7615999999999999,
SKU0045,Dairy Product 292,Dairy,C,S005,PT Agro Raya,WHMDN,Medan - Deli Serdang,BATCH5978,2025-04-22,2025-04-04,2025-04-29,140,293,61,8,2,1,39.11,1211,7.49,123.0,45,2,2.53,2.86,742.23,4.0,18.0,0.7031999999999999,FIFO,Expiring Soon,0,2025-07-16,-0.0764,0.8475,
SKU0046,Pantry Product 165,Pantry,C,S008,PT Hygienic Supplies,WHMDN,Medan - Deli Serdang,BATCH4501,2025-05-19,2025-04-17,2030-03-02,113,298,80,85,0,0,27.1,650000,11.0,82.0,28,2,2.31,2.32,689.04,2.73,8.0,0.8671,FEFO,In Stock,3,2025-08-19,-0.023399999999999997,0.8805,
SKU0047,Meat Product 340,Meat,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH6085,2025-08-17,2025-08-03,2025-08-29,23,282,59,57,2,1,27.22,774000,10.36,43.0,16,1,6.5,6.86,1832.58,2.9,5.0,0.9854999999999999,FIFO,Expiring Soon,-4,2025-08-22,-0.0052,0.8679000000000001,High return rate
SKU0048,Personal Product 313,Personal Care,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH4185,2025-05-26,2025-04-11,2029-12-05,106,48,4,5,2,1,3.47,113000,13.83,13.0,10,1,0.43,0.47,20.63,2.17,4.0,0.8976000000000001,FEFO,In Stock,5,2025-07-08,0.0278,0.9726,
SKU0049,Dairy Product 353,Dairy,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH3881,2025-05-24,2025-04-03,2025-06-07,108,80,62,18,2,0,36.53,1322,2.19,118.0,45,2,0.94,1.08,75.3,13.7,17.0,0.8759,FEFO,Low Stock,-1,2025-09-03,0.0889,0.7212999999999999,
SKU0050,Personal Product 63,Personal Care,C,S008,PT Hygienic Supplies,WHBDG,Bandung - Rancaekek,BATCH9702,2025-05-14,2025-04-09,2030-02-09,118,42,5,10,2,1,3.89,144000,10.8,14.0,10,1,5.98,6.19,251.21,2.78,1.0,0.7071999999999999,FEFO,In Stock,-2,2025-07-15,0.0581,0.8340000000000001,
SKU0051,Beverages Product 259,Beverages,C,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH8777,2025-05-18,2025-04-20,2027-04-08,114,42,12,4,1,0,4.08,110000,10.29,27.0,15,3,6.99,7.3,293.45,2.91,2.0,0.8379000000000001,FEFO,In Stock,4,2025-08-09,-0.045700000000000005,0.7986,
SKU0052,Meat Product 399,Meat,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5499,2025-04-02,2025-03-05,2025-04-14,160,435,124,67,1,1,34.41,1331,12.64,52.0,18,1,4.62,4.61,2009.05,2.37,13.0,0.9918,FIFO,Expiring Soon,0,2025-08-04,-0.0751,0.9359999999999999,
SKU0053,Seafood Product 458,Seafood,C,S009,PT Beverage Nusantara,WHJKT,Jakarta - Cengkareng,BATCH4788,2025-08-05,2025-07-12,2025-08-10,35,41,4,6,1,2,2.88,72000,14.24,6.0,3,1,11.66,11.62,478.21,2.11,2.0,0.7768,FIFO,Expiring Soon,-1,2025-06-11,-0.09269999999999999,0.7968999999999999,
SKU0054,Bakery Product 170,Bakery,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH4388,2025-05-26,2025-04-03,2025-05-28,106,680,47,26,0,0,35.91,1356,18.94,117.0,45,2,2.3,2.1,1566.31,1.58,11.0,0.7015,FEFO,Expiring Soon,-2,2025-07-22,0.0704,0.8794,
SKU0055,Pantry Product 357,Pantry,C,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH1096,2025-06-04,2025-04-05,2029-02-04,97,29,4,3,2,1,2.41,89000,12.03,39.0,15,10,10.53,10.39,305.28,2.49,4.0,0.9469,FEFO,Low Stock,3,2025-08-02,0.0356,0.903,
SKU0056,Household Product 489,Household,A,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH4613,2025-04-23,2025-03-23,2029-09-09,139,216,36,18,0,2,13.92,294000,15.52,70.0,28,3,14.1,13.26,3045.75,1.93,8.0,0.9245,FIFO,In Stock,0,2025-08-06,0.0636,0.7091,
SKU0057,Fresh Product 173,Fresh Produce,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH9751,2025-05-13,2025-05-12,2025-05-18,119,1,43,129,0,0,77.22,1725,14.83,117.0,40,1,1.49,1.63,1706.97,2.02,26.0,0.8753,FEFO,Expiring Soon,1,2025-06-26,0.0417,0.9239,
SKU0058,Fresh Product 330,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH1823,2025-05-14,2025-04-28,2025-05-19,118,81,31,9,2,2,9.92,238000,8.17,17.0,7,1,1.14,1.11,92.66,3.67,3.0,0.9007,FEFO,Expiring Soon,2,2025-07-30,0.09939999999999999,0.902,
SKU0059,Seafood Product 390,Seafood,B,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH2341,2025-05-25,2025-04-25,2025-06-01,107,112,16,29,2,0,8.92,307000,12.56,49.0,22,3,10.51,10.62,1176.96,2.39,6.0,0.7601,FIFO,Expiring Soon,-3,2025-07-02,-0.037599999999999995,0.6761,Promotional item
SKU0060,Meat Product 36,Meat,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH1333,2025-07-08,2025-05-30,2025-07-19,63,129,3,15,0,3,7.84,193000,16.45,169.0,59,14,2.46,2.7,316.98,1.82,1.0,0.8717,FIFO,Low Stock,0,2025-08-10,-0.0037,0.7868,Seasonal SKU
SKU0061,Pantry Product 112,Pantry,B,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH2876,2025-06-07,2025-04-19,2027-05-16,94,198,2,25,0,0,24.13,552000,8.21,154.0,57,4,4.25,4.74,842.33,3.66,7.0,0.7963,FIFO,In Stock,-7,2025-08-01,0.055999999999999994,0.6920000000000001,Seasonal SKU
SKU0062,Personal Product 295,Personal Care,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH4978,2025-07-21,2025-07-15,2026-12-23,50,27,5,4,1,0,3.11,72000,8.68,12.0,9,1,13.09,12.44,353.36,3.46,3.0,0.7881999999999999,FEFO,In Stock,-2,2025-06-14,0.038599999999999995,0.9406,
SKU0063,Dairy Product 290,Dairy,A,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH7071,2025-04-26,2025-04-22,2025-05-16,136,858,145,66,0,0,57.0,1365,15.05,431.0,146,5,3.79,3.98,3254.05,1.99,23.0,0.8918,FEFO,Expiring Soon,7,2025-09-08,0.056799999999999996,0.7667,
SKU0064,Household Product 55,Household,B,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH3506,2025-03-31,2025-03-04,2028-10-27,162,109,0,26,2,2,12.7,391000,8.58,60.0,22,3,9.85,9.26,1073.2,3.5,3.0,0.8234,FIFO,In Stock,1,2025-07-05,-0.0958,0.7874,
SKU0065,Meat Product 414,Meat,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5397,2025-05-13,2025-04-23,2025-05-31,119,492,58,97,0,0,33.94,954000,14.5,365.0,127,7,3.64,3.77,1789.7,2.07,13.0,0.8931999999999999,FIFO,Expiring Soon,2,2025-08-29,0.0028000000000000004,0.8304,
SKU0066,Frozen Product 385,Frozen,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH7209,2025-04-06,2025-03-16,2026-03-23,156,76,7,42,2,2,15.63,472000,4.86,55.0,24,2,7.94,7.96,603.81,6.17,3.0,0.8195,FIFO,In Stock,0,2025-07-08,0.0204,0.757,
SKU0067,Dairy Product 109,Dairy,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH5526,2025-06-14,2025-05-10,2025-06-29,87,261,81,6,0,1,36.03,1386,7.24,165.0,57,3,2.7,2.87,704.0,4.14,10.0,0.7501000000000001,FIFO,Expiring Soon,3,2025-07-05,-0.035,0.7724,
SKU0068,Fresh Product 369,Fresh Produce,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH8800,2025-04-20,2025-03-10,2025-04-26,142,271,97,65,2,2,30.28,895000,8.95,233.0,82,5,1.44,1.36,391.19,3.35,14.0,0.9561,FEFO,Expiring Soon,-4,2025-07-14,-0.09269999999999999,0.9208,
SKU0069,Fresh Product 114,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH7046,2025-06-23,2025-05-24,2025-07-06,78,130,26,29,3,1,13.39,377000,9.71,27.0,14,1,0.75,0.72,97.88,3.09,3.0,0.9871,FEFO,Expiring Soon,0,2025-07-17,-0.064,0.7824,
SKU0070,Pantry Product 181,Pantry,C,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH4777,2025-06-23,2025-06-16,2027-11-19,78,12,12,0,1,0,8.37,243000,1.43,16.0,8,1,8.83,9.5,105.93,20.92,6.0,0.8823000000000001,FIFO,Low Stock,0,2025-07-31,-0.0596,0.9299,Temperature controlled
SKU0071,Personal Product 354,Personal Care,A,S003,PT Prima Distribusi,WHBDG,Bandung - Rancaekek,BATCH5530,2025-07-16,2025-05-31,2029-04-02,55,211,46,31,1,1,14.69,393000,14.36,71.0,27,3,21.76,22.73,4591.78,2.09,5.0,0.8919,FEFO,In Stock,-3,2025-08-28,-0.030299999999999997,0.9292,
SKU0072,Meat Product 185,Meat,A,S003,PT Prima Distribusi,WHSBY,Surabaya - Sidoarjo,BATCH5494,2025-09-06,2025-09-04,2025-09-15,3,505,69,42,2,1,37.18,1246,13.58,391.0,131,7,9.53,8.87,4814.92,2.21,13.0,0.8101,FIFO,Expiring Soon,2,2025-07-01,0.0089,0.7476999999999999,
SKU0073,Personal Product 327,Personal Care,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH5658,2025-09-06,2025-08-07,2029-11-24,3,45,8,2,2,1,2.76,87000,16.3,20.0,12,3,5.91,6.09,266.11,1.84,4.0,0.9819,FEFO,In Stock,6,2025-07-15,-0.0042,0.8028,
SKU0074,Personal Product 130,Personal Care,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH9056,2025-08-24,2025-08-20,2028-11-21,16,51,13,7,2,0,5.7,175000,8.95,13.0,7,1,0.75,0.72,38.27,3.35,3.0,0.8220000000000001,FIFO,In Stock,1,2025-08-21,-0.043,0.7182999999999999,Temperature controlled
SKU0075,Personal Product 44,Personal Care,C,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH4697,2025-04-20,2025-03-02,2028-08-19,142,32,13,17,0,2,5.35,117000,5.98,16.0,11,1,3.31,3.78,105.94,5.02,5.0,0.7626000000000001,FEFO,In Stock,0,2025-07-14,-0.0033,0.8406,
SKU0076,Meat Product 302,Meat,C,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH2625,2025-04-17,2025-02-16,2025-04-23,145,88,23,13,1,3,17.62,556000,4.99,192.0,69,7,7.92,8.44,696.55,6.01,5.0,0.8894,FIFO,Low Stock,2,2025-06-21,-0.0809,0.6638,
